Instance,Time,Cost,Facility Open Status,Customer Status
1,1024ms,9655,1 1 1 1 1 1 1 1 1 1 ,0 2 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 5 
2,1070ms,8383,1 1 1 1 1 1 1 0 1 0 ,0 8 1 6 3 8 2 4 4 1 4 0 3 2 8 3 2 0 6 4 3 8 6 4 2 5 1 5 0 5 2 6 0 3 4 4 4 3 0 4 1 8 1 5 4 0 2 0 4 5 
3,1036ms,10292,1 0 1 1 1 1 1 1 1 1 ,8 2 5 6 3 8 2 4 4 5 9 0 3 2 8 3 4 0 9 7 3 4 6 4 2 5 3 5 0 5 2 6 0 3 9 4 4 3 0 4 5 8 3 5 7 0 4 0 4 5 
4,1018ms,11648,1 0 1 1 1 1 1 0 1 1 ,0 2 5 6 3 8 2 4 4 5 9 8 3 2 8 3 4 0 9 4 3 8 6 4 2 5 3 5 0 5 2 6 0 3 9 4 4 3 0 4 5 8 3 5 4 0 4 0 4 5 
5,1124ms,9494,1 1 1 1 1 0 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 2 0 9 7 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 4 1 8 1 6 7 0 9 0 4 7 
6,1101ms,8291,1 1 1 1 1 0 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 4 1 8 1 6 7 0 2 0 7 7 
7,1103ms,10091,1 1 1 1 1 0 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 4 1 8 1 6 7 0 2 0 7 7 
8,1123ms,12058,1 1 1 1 1 1 1 1 1 0 ,8 8 1 6 3 8 2 4 4 1 4 8 3 2 8 3 4 0 6 7 3 8 6 4 5 5 1 5 0 5 2 6 0 3 2 4 7 3 0 4 1 8 1 5 7 0 2 0 4 7 
9,1102ms,9083,1 1 1 1 1 0 1 0 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 2 0 9 4 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 4 1 8 1 6 4 0 2 0 4 4 
10,1110ms,8133,1 1 1 1 1 0 1 0 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 2 0 9 4 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 4 1 8 1 6 4 0 2 0 4 4 
11,1043ms,10146,1 1 1 1 1 1 0 1 1 1 ,8 8 1 5 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 9 4 2 5 1 5 0 5 2 5 0 3 4 4 4 3 0 4 1 8 1 5 7 0 2 0 4 4 
12,1055ms,11411,1 1 1 1 1 0 1 1 1 0 ,8 8 1 6 3 8 2 4 4 1 4 8 3 2 8 3 4 0 6 7 3 8 6 4 2 6 1 1 0 1 2 6 0 3 4 4 7 3 0 4 1 8 1 6 7 0 4 0 7 4 
13,1109ms,10029,1 1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 ,0 1 10 10 18 18 17 18 14 17 15 1 1 6 2 3 15 10 17 6 14 15 15 2 6 17 0 17 1 17 2 7 2 7 3 10 3 1 1 2 6 0 0 0 3 15 14 10 2 7 
14,1091ms,8056,0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 1 ,16 12 7 7 1 15 17 13 12 17 15 19 1 6 13 12 15 7 17 6 12 15 15 19 6 1 16 17 1 17 13 7 13 16 1 7 17 19 19 13 6 16 15 16 6 13 12 6 19 7 
15,1101ms,11338,1 0 1 1 0 1 0 1 0 1 0 0 0 1 1 1 0 1 0 0 ,0 3 0 7 14 15 17 13 14 17 15 2 17 9 13 3 15 7 17 9 14 15 15 2 9 3 7 17 3 17 13 7 2 0 3 7 3 2 2 13 9 0 5 0 3 5 14 7 2 7 
16,1095ms,12305,1 1 0 0 0 0 0 1 0 1 1 1 0 1 0 1 0 1 0 1 ,0 1 10 10 1 15 17 13 7 17 15 19 1 10 13 11 15 10 17 9 15 15 15 19 9 17 7 17 1 17 13 7 13 0 1 7 11 19 19 13 10 0 0 0 11 13 7 10 19 7 
17,1094ms,9315,0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 ,16 1 7 7 1 15 17 13 14 17 15 19 1 6 13 14 15 7 17 6 14 15 15 19 6 1 16 17 1 17 13 7 13 16 1 6 17 19 19 13 6 16 15 16 6 13 14 7 19 7 
